plotcode,treatment,year,species_other,sowndiv,AGB.mix,biomass.y,AGB.mono
B1A20,D1,2020,Kna.arv,16,203.05,671.53,41.970625
B1A20,D1,2020,Leo.aut,16,0,44,2.75
B1A20,D1,2020,Leo.his,16,0,67.13,4.195625
B1A20,D1,2020,Lot.cor,16,9.7,56.91,3.556875
B1A20,D1,2020,Med.var,16,92.57,657.1,41.06875
B1A20,D1,2020,Pla.lan,16,0,78.23,4.889375
B1A20,D1,2020,Ran.acr,16,0.555,56.17,3.510625
B1A20,D1,2020,San.off,16,0,213.63,13.351875
B1A20,D1,2020,Tri.hyb,16,0,9.51,0.594375
B1A20,D1,2020,Tri.rep,16,1.315,150.41,9.400625
B1A20,D1,2020,Ver.cha,16,0.105,48.71,3.044375
B1A20,D1,2021,Ach.mil,16,0,363.2,22.7
B1A20,D1,2021,Aju.rep,16,0,25.5,1.59375
B1A20,D1,2021,Bel.per,16,0,4.98,0.31125
